id,display_name,reputation,num_answers
2901002,jezrael,680025,24270
100297,Martijn Pieters,927213,19376
7964527,BENY,278714,9322
104349,Daniel Roseman,556318,8512
901925,hpaulj,189584,7213
190597,unutbu,746181,7140
7432,Bryan Oakley,326360,6787
771848,alecxe,428759,6174
908494,abarnert,324657,6053
20862,Ignacio Vazquez-Abrams,721195,5862
9209546,jpp,141217,5793
2336654,piRSquared,253165,5561
4909087,cs95,304263,5435
1832058,furas,107735,5259
6622587,eyllanesc,211106,5159
4238408,Quang Hoang,126249,5159
10035985,Andrej Kesely,106874,5109
2141635,Padraic Cunningham,165370,5094
67579,Willem Van Onsem,362454,4944
1126841,chepner,419284,4891